index,CalendarName,EventTitle,StartDate,StartTime,EndDate,EndTime,Duration
236,ABOG Kansas City,Kansas City Patrol,2019-12-30,18:00:00,2019-12-30,20:00:00,120
237,ABOG Anchorage,Anchorage Priceless Patrols,2020-01-02,19:00:00,2020-01-02,22:00:00,180
238,ABOG Arizona,Tucson West,2020-01-11,11:00:00,2020-01-11,15:00:00,240
239,ABOG Arizona,Tucson East,2020-01-11,16:00:00,2020-01-11,20:00:00,240
240,ABOG Arizona,Tucson East,2020-01-11,16:00:00,2020-01-11,18:30:00,150
241,ABOG Madison,Madison WI,2020-01-13,17:00:00,2020-01-13,20:00:00,180
242,ABOG Houston,Houston Patrol,2020-01-14,16:00:00,2020-01-14,18:00:00,120
243,ABOG Houston,CEASE Georgetown,2020-01-16,16:00:00,2020-01-16,18:00:00,120
244,ABOG North Texas,Fort Worth Team 3,2020-01-16,16:00:00,2020-01-16,18:00:00,120
245,ABOG Portland,Portland Team 1,2020-01-16,18:30:00,2020-01-16,21:30:00,180
246,ABOG Anchorage,Anchorage Priceless Patrols,2020-01-16,19:00:00,2020-01-16,22:00:00,180
247,ABOG Arizona,Phoenix,2020-01-17,15:00:00,2020-01-17,19:00:00,240
248,ABOG Portland,Post ads for Bianca in San Diego,2020-01-18,09:00:00,2020-01-18,09:30:00,30
249,ABOG Arizona,Sedona Patrol,2020-01-20,11:00:00,2020-01-20,14:00:00,180
250,ABOG Portland,PDX Team 8 Patrol,2020-01-21,18:30:00,2020-01-21,21:30:00,180
251,ABOG Portland,Portland Team 2 Patrol,2020-01-22,19:00:00,2020-01-22,22:00:00,180
252,ABOG Detroit,Detroit 1,2020-01-23,16:00:00,2020-01-23,18:00:00,120
253,ABOG SeattleTacoma,6pm Seattle-Tacoma Patrol,2020-01-23,18:00:00,2020-01-23,21:00:00,180
254,ABOG San Diego,SD Bunch of Guys ,2020-01-24,19:30:00,2020-01-24,22:30:00,180
255,ABOG North Texas,Fort Worth Patrol,2020-01-27,15:00:00,2020-01-27,17:00:00,120
256,ABOG Detroit,Detroit 3,2020-01-27,19:30:00,2020-01-27,21:30:00,120
257,ABOG Detroit,Detroit 4,2020-01-28,19:30:00,2020-01-28,21:30:00,120
258,ABOG Houston,San Antonio Patrol,2020-01-29,17:00:00,2020-01-29,19:00:00,120
259,ABOG Detroit,Detroit 7,2020-01-30,16:00:00,2020-01-30,18:00:00,120
260,ABOG Anchorage,Anchorage Priceless Patrols,2020-01-30,19:00:00,2020-01-30,22:00:00,180
261,ABOG Kansas City,Big Search Meeting,2020-02-04,13:30:00,2020-02-04,14:30:00,60
262,ABOG Detroit,Detroit 6,2020-02-05,16:00:00,2020-02-05,18:00:00,120
263,ABOG Portland,Portland Team 1,2020-02-06,18:30:00,2020-02-06,21:30:00,180
264,ABOG Arizona,Tucson West,2020-02-08,11:00:00,2020-02-08,15:00:00,240
265,ABOG Arizona,Tucson East,2020-02-08,16:00:00,2020-02-08,20:00:00,240
266,ABOG Arizona,Tucson East,2020-02-08,16:00:00,2020-02-08,18:30:00,150
267,ABOG Houston,CEASE Georgetown,2020-02-10,16:00:00,2020-02-10,18:00:00,120
268,ABOG Madison,Madison WI,2020-02-10,17:00:00,2020-02-10,20:00:00,180
269,ABOG Detroit,Detroit 3,2020-02-10,19:30:00,2020-02-10,21:30:00,120
270,ABOG Portland,Portland Team 5,2020-02-11,19:00:00,2020-02-11,21:00:00,120
271,ABOG Portland,Portland Team 2 Patrol,2020-02-12,19:00:00,2020-02-12,22:00:00,180
272,ABOG Detroit,Detroit 7,2020-02-13,16:00:00,2020-02-13,18:00:00,120
273,ABOG Anchorage,Anchorage Priceless Patrols,2020-02-13,19:00:00,2020-02-13,22:00:00,180
274,ABOG Portland,Demo Patrol for Canada visitors,2020-02-15,12:00:00,2020-02-15,14:00:00,120
275,ABOG Detroit,Detroit 1,2020-02-18,16:00:00,2020-02-18,18:00:00,120
276,ABOG Detroit,Detroit 6,2020-02-19,16:00:00,2020-02-19,18:00:00,120
277,ABOG North Texas,Fort Worth Team 3,2020-02-20,16:00:00,2020-02-20,18:00:00,120
278,ABOG Arizona,Phoenix,2020-02-21,15:00:00,2020-02-21,19:00:00,240
279,ABOG Kansas City,Kansas City,2020-02-21,19:00:00,2020-02-21,22:00:00,180
280,ABOG North Texas,Fort Worth Team 1 Patrol,2020-02-25,16:00:00,2020-02-25,20:00:00,240
